time	V(in)	V(out)
1.365493549388696e-003	3.654935e+000	2.593379e-001
1.371658327440623e-003	3.716583e+000	2.513799e-001
1.377823105492549e-003	3.778231e+000	2.440626e-001
1.383987883544475e-003	3.839879e+000	2.373859e-001
1.390152661596402e-003	3.901527e+000	2.313499e-001
1.423109214399109e-003	4.231092e+000	2.009753e-001
1.434086895394588e-003	4.340869e+000	1.924601e-001
1.456089277018085e-003	4.560893e+000	1.776381e-001
1.462362243569787e-003	4.623623e+000	1.739855e-001
1.468635210121490e-003	4.686352e+000	1.704506e-001
1.474908176673192e-003	4.749082e+000	1.670336e-001
1.481181143224894e-003	4.811812e+000	1.637343e-001
1.487454109776597e-003	4.874541e+000	1.605528e-001
1.493727076328299e-003	4.937270e+000	1.574891e-001
1.500000042880002e-003	5.000000e+000	1.545433e-001
1.500000786011427e-003	4.999992e+000	1.545371e-001
1.500001529142853e-003	4.999985e+000	1.545319e-001
1.500002272274279e-003	4.999977e+000	1.545277e-001
1.500003015405704e-003	4.999970e+000	1.545243e-001
1.500003758537130e-003	4.999963e+000	1.545219e-001
1.500004501668556e-003	4.999955e+000	1.545204e-001
1.500005244799981e-003	4.999948e+000	1.545198e-001
1.500010487679960e-003	4.999895e+000	1.545163e-001
1.500020973439918e-003	4.999790e+000	1.545186e-001
1.517313044140700e-003	4.826870e+000	1.628439e-001
1.534605114841481e-003	4.653949e+000	1.726687e-001
1.551897185542263e-003	4.481028e+000	1.839931e-001
1.569189256243044e-003	4.308108e+000	1.968172e-001
1.586481326943826e-003	4.135187e+000	2.111409e-001
1.603773397644607e-003	3.962266e+000	2.269641e-001
1.621065468345389e-003	3.789345e+000	2.442870e-001
1.640432094849328e-003	3.595679e+000	2.682315e-001
1.654474780791424e-003	3.455252e+000	2.894947e-001
1.659434964807919e-003	3.405650e+000	2.979360e-001
1.664395148824414e-003	3.356049e+000	3.072842e-001
1.669355332840910e-003	3.306447e+000	3.175392e-001
1.674315516857405e-003	3.256845e+000	3.287010e-001
1.679275700873900e-003	3.207243e+000	3.407696e-001
1.684235884890395e-003	3.157641e+000	3.537451e-001
1.689196068906891e-003	3.108039e+000	3.676274e-001
1.702574221673539e-003	2.974258e+000	4.161029e-001
1.722315932084941e-003	2.776841e+000	5.203617e-001
1.736474401067196e-003	2.635256e+000	6.417878e-001
1.743713749923188e-003	2.562863e+000	7.688696e-001
1.749016925637155e-003	2.509831e+000	9.827600e-001
1.755117179105781e-003	2.448828e+000	1.378002e+000
1.759127114173486e-003	2.408729e+000	1.667628e+000
1.763639827324593e-003	2.363602e+000	1.982157e+000
1.772665253626807e-003	2.273347e+000	2.573079e+000
1.786673806516641e-003	2.133262e+000	3.393865e+000
1.801181529104362e-003	1.988185e+000	4.077322e+000
1.820382973732103e-003	1.796170e+000	4.670089e+000
1.840212973789566e-003	1.597870e+000	4.956464e+000
1.852725369800474e-003	1.472746e+000	4.999951e+000
1.945409696818925e-003	5.459030e-001	4.999951e+000
2.000000002000002e-003	2.664535e-015	5.000977e+000
2.001100581875149e-003	1.100580e-002	5.000368e+000
2.003301741625443e-003	3.301740e-002	5.000049e+000
2.069336534134272e-003	6.933653e-001	5.000049e+000
2.139773646143690e-003	1.397736e+000	4.985373e+000
2.168405426402485e-003	1.684054e+000	4.869527e+000
2.184358487980812e-003	1.843585e+000	4.592254e+000
2.199597877560044e-003	1.995979e+000	4.052451e+000
2.217119850246536e-003	2.171198e+000	3.136925e+000
2.246866883668743e-003	2.468669e+000	1.269888e+000
2.255067218475872e-003	2.550672e+000	8.207777e-001
2.259433472214836e-003	2.594335e+000	6.859835e-001
2.262741874982804e-003	2.627419e+000	6.376165e-001
2.266683920839310e-003	2.666839e+000	5.946685e-001
2.272865257289079e-003	2.728652e+000	5.423878e-001
2.281389589964942e-003	2.813896e+000	4.865507e-001
2.290203268482945e-003	2.902033e+000	4.429346e-001
2.306213332081974e-003	3.062133e+000	3.839745e-001
2.323250555435693e-003	3.232506e+000	3.353188e-001
2.332367417583626e-003	3.323674e+000	3.143502e-001
2.346082088036743e-003	3.460821e+000	2.885544e-001
2.354245698600331e-003	3.542457e+000	2.755992e-001
2.362409309163919e-003	3.624093e+000	2.636613e-001
2.370572919727507e-003	3.705729e+000	2.527407e-001
2.378736530291095e-003	3.787365e+000	2.428375e-001
2.386900140854683e-003	3.869001e+000	2.339515e-001
2.395063751418271e-003	3.950638e+000	2.260828e-001
2.403227361981859e-003	4.032274e+000	2.192315e-001
2.449193078965723e-003	4.491931e+000	1.846745e-001
2.500000002100004e-003	5.000000e+000	1.545531e-001
2.500000025622861e-003	5.000000e+000	1.545528e-001
