time	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	3.999999e+000
1.999999943436137e-009	1.600000e-005	3.999999e+000
3.999999886872274e-009	3.200000e-005	4.000000e+000
7.999999773744548e-009	6.400000e-005	4.000000e+000
1.599999954748910e-008	1.280000e-004	4.000001e+000
4.694857010077517e-006	3.755886e-002	4.000113e+000
9.373714020607544e-006	7.498971e-002	4.000198e+000
1.405257103113757e-005	1.124206e-001	4.000253e+000
1.873142804166760e-005	1.498514e-001	4.000281e+000
2.341028505219763e-005	1.872823e-001	4.000281e+000
2.808914206272765e-005	2.247131e-001	4.000252e+000
3.276799907325767e-005	2.621440e-001	4.000195e+000
1.802239949029172e-004	1.441792e+000	4.000195e+000
1.966802625100583e-004	1.573442e+000	3.981138e+000
2.066228924798984e-004	1.652983e+000	3.903877e+000
2.120912083907081e-004	1.696730e+000	3.767903e+000
2.173362640814260e-004	1.738690e+000	3.519036e+000
2.245653679713326e-004	1.796523e+000	3.020050e+000
2.340189299483597e-004	1.872151e+000	2.181354e+000
2.411712772135803e-004	1.929370e+000	1.431358e+000
2.454915434002776e-004	1.963932e+000	9.307916e-001
2.482057786688295e-004	1.985646e+000	6.006867e-001
2.496811387426517e-004	1.997449e+000	4.232122e-001
2.504471134341744e-004	2.003577e+000	3.466658e-001
2.509757231939834e-004	2.007806e+000	3.149572e-001
2.516359478400322e-004	2.013088e+000	2.959082e-001
2.520983264811614e-004	2.016787e+000	2.876043e-001
2.526666341456209e-004	2.021333e+000	2.793942e-001
2.536767073782654e-004	2.029414e+000	2.670400e-001
2.556968538435543e-004	2.045575e+000	2.468730e-001
2.580116603064992e-004	2.064093e+000	2.284627e-001
2.609721140148876e-004	2.087777e+000	2.099066e-001
2.641821153277552e-004	2.113457e+000	1.938030e-001
2.681269464444258e-004	2.145015e+000	1.777805e-001
2.719697090667328e-004	2.175758e+000	1.648888e-001
2.758991733375281e-004	2.207193e+000	1.539048e-001
2.806159892895218e-004	2.244928e+000	1.429861e-001
2.883385122883824e-004	2.306708e+000	1.284861e-001
2.978761921161822e-004	2.383009e+000	1.144329e-001
3.114042139334109e-004	2.491234e+000	9.940883e-002
3.285839007179435e-004	2.628671e+000	8.533448e-002
3.501613425652322e-004	2.801291e+000	7.253844e-002
3.750335532280586e-004	3.000268e+000	6.192338e-002
4.055032499430964e-004	3.244026e+000	5.217765e-002
4.186878465694207e-004	3.349503e+000	4.878651e-002
4.275992079704289e-004	3.420794e+000	4.685498e-002
4.365105693714370e-004	3.492085e+000	4.505020e-002
4.454219307724452e-004	3.563376e+000	4.337218e-002
4.543332921734534e-004	3.634666e+000	4.182091e-002
4.632446535744616e-004	3.705957e+000	4.039640e-002
4.721560149754698e-004	3.777248e+000	3.909864e-002
4.810673763764779e-004	3.848539e+000	3.792764e-002
5.000000000000000e-004	4.000000e+000	3.544471e-002
5.005752553411865e-004	3.995398e+000	3.550732e-002
5.017257660235594e-004	3.986194e+000	3.564215e-002
5.178329155767806e-004	3.857337e+000	3.772395e-002
5.362410864947477e-004	3.710071e+000	4.039707e-002
5.583960746952655e-004	3.532831e+000	4.405876e-002
5.653943650102060e-004	3.476845e+000	4.534146e-002
5.723926553251464e-004	3.420859e+000	4.675626e-002
5.793909456400869e-004	3.364872e+000	4.830316e-002
5.863892359550274e-004	3.308886e+000	4.998214e-002
5.933875262699679e-004	3.252900e+000	5.179322e-002
6.003858165849084e-004	3.196913e+000	5.373640e-002
6.073841068998489e-004	3.140927e+000	5.581166e-002
6.379746493708025e-004	2.896203e+000	6.774729e-002
6.732666161133621e-004	2.613867e+000	8.837821e-002
6.997004731532688e-004	2.402396e+000	1.136137e-001
7.179772037638297e-004	2.256182e+000	1.427751e-001
7.304247694065717e-004	2.156602e+000	1.753377e-001
7.387500582319079e-004	2.089999e+000	2.108298e-001
7.448380891946556e-004	2.041295e+000	2.522728e-001
7.481584846525597e-004	2.014732e+000	2.887442e-001
7.502021271887089e-004	1.998383e+000	3.262204e-001
7.516031662537972e-004	1.987175e+000	3.745122e-001
