time	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	4.999999e+000
1.953124995068833e-009	1.953125e-005	5.000000e+000
3.906249990137667e-009	3.906250e-005	5.000002e+000
7.812499980275334e-009	7.812500e-005	5.000006e+000
1.562499996055067e-008	1.562500e-004	5.000016e+000
5.848214270948966e-007	5.848214e-003	5.000147e+000
1.154017854229243e-006	1.154018e-002	5.000245e+000
1.723214281363588e-006	1.723214e-002	5.000310e+000
2.292410708497934e-006	2.292411e-002	5.000343e+000
2.861607135632280e-006	2.861607e-002	5.000342e+000
3.430803562766626e-006	3.430803e-002	5.000309e+000
3.999999989900971e-006	4.000000e-002	5.000244e+000
1.279999996768311e-004	1.280000e+000	5.000244e+000
1.402070309268311e-004	1.402070e+000	4.989982e+000
1.646210934268311e-004	1.646211e+000	4.820236e+000
1.717839940256547e-004	1.717840e+000	4.553193e+000
1.778378901866222e-004	1.778379e+000	4.075861e+000
1.837545424679139e-004	1.837545e+000	3.425341e+000
1.917932628408499e-004	1.917933e+000	2.336583e+000
1.997104686121355e-004	1.997105e+000	1.125611e+000
2.030704105984726e-004	2.030704e+000	6.002358e-001
2.046817867240732e-004	2.046818e+000	3.963356e-001
2.053608568411326e-004	2.053609e+000	3.519102e-001
2.060053920755193e-004	2.060054e+000	3.348807e-001
2.065892518419054e-004	2.065892e+000	3.226889e-001
2.072085303235967e-004	2.072085e+000	3.114772e-001
2.079961925217555e-004	2.079962e+000	2.992330e-001
2.088204991576920e-004	2.088205e+000	2.880582e-001
2.100972593733024e-004	2.100973e+000	2.732295e-001
2.114496688484498e-004	2.114497e+000	2.598374e-001
2.135574754253691e-004	2.135575e+000	2.423476e-001
2.157533362491454e-004	2.157533e+000	2.270757e-001
2.184923494386185e-004	2.184923e+000	2.112749e-001
2.216031159579839e-004	2.216031e+000	1.964010e-001
2.258059081823338e-004	2.258059e+000	1.797659e-001
2.296722079218784e-004	2.296722e+000	1.672292e-001
2.361452422914220e-004	2.361452e+000	1.502210e-001
2.423865177791559e-004	2.423865e+000	1.372489e-001
2.548690687546237e-004	2.548691e+000	1.174007e-001
2.661130170362841e-004	2.661130e+000	1.040819e-001
2.880566989747896e-004	2.880567e+000	8.565695e-002
3.093343240893743e-004	3.093343e+000	7.302516e-002
3.434935842236924e-004	3.434936e+000	5.853973e-002
3.532643270494676e-004	3.532643e+000	5.524982e-002
3.661463733605254e-004	3.661464e+000	5.172965e-002
3.867118189401064e-004	3.867118e+000	4.714645e-002
4.130510693378244e-004	4.130511e+000	4.236625e-002
4.473214992045640e-004	4.473215e+000	3.743344e-002
4.548471866953398e-004	4.676368e+000	5.962478e-002
4.623728741861156e-004	4.836887e+000	7.412748e-002
4.698985616768915e-004	4.954774e+000	8.094153e-002
4.774242491676673e-004	5.030027e+000	8.006692e-002
4.849499366584431e-004	5.062647e+000	7.150366e-002
4.924756241492190e-004	5.052633e+000	5.525176e-002
5.000013116399948e-004	4.999987e+000	3.131120e-002
5.000026223599895e-004	4.999974e+000	3.130798e-002
5.000052437999791e-004	4.999948e+000	3.130428e-002
5.000104866799581e-004	4.999895e+000	3.130157e-002
5.000209724399162e-004	4.999790e+000	3.130111e-002
5.170961693599422e-004	4.829038e+000	3.296328e-002
5.341713662799681e-004	4.658286e+000	3.489683e-002
5.512465631999941e-004	4.487534e+000	3.710174e-002
5.683217601200200e-004	4.316782e+000	3.957803e-002
5.853969570400459e-004	4.146030e+000	4.232569e-002
6.024721539600719e-004	3.975278e+000	4.534472e-002
6.195473508800978e-004	3.804527e+000	4.863512e-002
6.388575878479822e-004	3.611424e+000	5.313798e-002
6.544229404622294e-004	3.455770e+000	5.753179e-002
6.644072054818098e-004	3.355928e+000	6.085789e-002
6.704848642680221e-004	3.295151e+000	6.315215e-002
6.826401818404466e-004	3.173598e+000	6.842373e-002
7.021828877170097e-004	2.978171e+000	7.953332e-002
7.321178102011929e-004	2.678822e+000	1.041594e-001
7.529776924992965e-004	2.470223e+000	1.314590e-001
7.680919018184839e-004	2.319081e+000	1.639530e-001
7.784379918607390e-004	2.215620e+000	1.999617e-001
7.856346609721251e-004	2.143653e+000	2.405602e-001
7.907988348766446e-004	2.092012e+000	2.866990e-001
7.933604919476365e-004	2.066395e+000	3.236485e-001
7.950506748792839e-004	2.049493e+000	3.641594e-001
7.961419720752017e-004	2.038580e+000	4.173127e-001
7.969546183815067e-004	2.030454e+000	4.994464e-001
7.977985560025510e-004	2.022014e+000	6.274604e-001
7.993661089252520e-004	2.006339e+000	8.942227e-001
8.010761499492589e-004	1.989239e+000	1.179467e+000
8.044962319972728e-004	1.955038e+000	1.728085e+000
8.105560069771642e-004	1.894440e+000	2.634468e+000
8.162273531131705e-004	1.837726e+000	3.386346e+000
8.223280299187837e-004	1.776720e+000	4.040573e+000
8.301619753940900e-004	1.698380e+000	4.627673e+000
8.377390682064762e-004	1.622609e+000	4.921608e+000
8.446992425004226e-004	1.553008e+000	4.996772e+000
8.489788048924358e-004	1.510212e+000	4.999781e+000
9.535428042457282e-004	4.645720e-001	4.999760e+000
1.000000001000000e-003	0.000000e+000	5.000507e+000
1.001100857619603e-003	1.100857e-002	5.000345e+000
1.003302570858809e-003	3.302570e-002	5.000246e+000
1.139808791689561e-003	1.398088e+000	5.000252e+000
1.152015822939561e-003	1.520158e+000	4.990343e+000
1.163693544803019e-003	1.636935e+000	4.906840e+000
1.168758741049391e-003	1.687587e+000	4.750250e+000
1.173828746826533e-003	1.738287e+000	4.430805e+000
1.179134742398814e-003	1.791347e+000	3.947568e+000
1.186166212696329e-003	1.861662e+000	3.087357e+000
1.200229153291360e-003	2.002291e+000	1.034620e+000
1.204266538508828e-003	2.042665e+000	4.619411e-001
1.205662642523538e-003	2.056626e+000	3.484387e-001
1.206949368207020e-003	2.069494e+000	3.165549e-001
1.207598166856585e-003	2.075982e+000	3.051830e-001
1.208722766669376e-003	2.087228e+000	2.890410e-001
1.210300368158490e-003	2.103004e+000	2.705802e-001
1.212512358666090e-003	2.125124e+000	2.500634e-001
1.214971921815291e-003	2.149719e+000	2.318016e-001
1.216619355984130e-003	2.166193e+000	2.214575e-001
1.218978697617486e-003	2.189787e+000	2.084927e-001
1.221325795132118e-003	2.213258e+000	1.973338e-001
1.224644022868677e-003	2.246440e+000	1.838027e-001
1.227792579259746e-003	2.277926e+000	1.729234e-001
1.233186018357111e-003	2.331860e+000	1.573817e-001
1.238368909332731e-003	2.383689e+000	1.452689e-001
1.248734691283971e-003	2.487347e+000	1.262817e-001
1.258410542657634e-003	2.584105e+000	1.127083e-001
1.275291668123324e-003	2.752917e+000	9.536887e-002
1.292999155131739e-003	2.929991e+000	8.218470e-002
