time	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	4.000000e+000
1.999999943436137e-009	1.600000e-005	4.000000e+000
3.999999886872274e-009	3.200000e-005	4.000000e+000
7.999999773744548e-009	6.400000e-005	4.000000e+000
1.599999954748910e-008	1.280000e-004	4.000001e+000
1.183999966514194e-006	9.472000e-003	4.000024e+000
2.351999933480898e-006	1.881600e-002	4.000040e+000
3.519999900447603e-006	2.816000e-002	4.000051e+000
4.687999867414307e-006	3.750400e-002	4.000057e+000
5.855999834381011e-006	4.684800e-002	4.000057e+000
7.023999801347716e-006	5.619200e-002	4.000051e+000
8.191999768314418e-006	6.553600e-002	4.000039e+000
1.310719962930307e-004	1.048576e+000	4.000039e+000
1.717135145590615e-004	1.373708e+000	3.997968e+000
2.046014229873739e-004	1.636811e+000	3.946072e+000
2.207841210027110e-004	1.766273e+000	3.804956e+000
2.366778103121984e-004	1.893422e+000	3.486761e+000
2.545273693083706e-004	2.036219e+000	2.902431e+000
2.902264873007148e-004	2.321812e+000	1.364644e+000
3.004623964831535e-004	2.403699e+000	8.924372e-001
3.061674235769535e-004	2.449339e+000	6.956735e-001
3.122602208395225e-004	2.498082e+000	5.883157e-001
3.158292383126907e-004	2.526634e+000	5.508575e-001
3.201242868779767e-004	2.560994e+000	5.173327e-001
3.287143840085488e-004	2.629715e+000	4.642628e-001
3.364992963756585e-004	2.691994e+000	4.264397e-001
3.477710615653881e-004	2.782168e+000	3.841835e-001
3.603213423269331e-004	2.882571e+000	3.473487e-001
3.773342010864480e-004	3.018674e+000	3.084543e-001
3.935821343743729e-004	3.148657e+000	2.798152e-001
4.226386947205189e-004	3.381109e+000	2.395423e-001
4.393232441270188e-004	3.514586e+000	2.210077e-001
4.454144733477929e-004	3.563316e+000	2.152804e-001
4.515057025685671e-004	3.612046e+000	2.098249e-001
4.575969317893412e-004	3.660775e+000	2.046413e-001
4.636881610101153e-004	3.709505e+000	1.997296e-001
4.697793902308894e-004	3.758235e+000	1.950899e-001
4.758706194516636e-004	3.806965e+000	1.907220e-001
4.819618486724377e-004	3.855695e+000	1.866261e-001
5.000000000000000e-004	4.000000e+000	1.748715e-001
5.005818606366847e-004	3.995345e+000	1.752370e-001
5.017455819100541e-004	3.986035e+000	1.759469e-001
5.180376797372248e-004	3.855699e+000	1.865763e-001
5.366572201111342e-004	3.706742e+000	2.003409e-001
5.587964312914534e-004	3.529629e+000	2.191554e-001
5.650073805515708e-004	3.479941e+000	2.251038e-001
5.712183298116881e-004	3.430253e+000	2.316230e-001
5.774292790718056e-004	3.380566e+000	2.387129e-001
5.836402283319229e-004	3.330878e+000	2.463734e-001
5.898511775920403e-004	3.281191e+000	2.546047e-001
5.960621268521578e-004	3.231503e+000	2.634066e-001
6.022730761122751e-004	3.181815e+000	2.727792e-001
6.227530944639412e-004	3.017975e+000	3.114257e-001
6.525530574842499e-004	2.779576e+000	3.944788e-001
6.751084865583344e-004	2.599132e+000	4.959352e-001
6.873663734129119e-004	2.501069e+000	5.931394e-001
6.950933159201568e-004	2.439254e+000	7.234950e-001
7.008064400852662e-004	2.393548e+000	9.190208e-001
7.064961278558309e-004	2.348031e+000	1.197162e+000
7.113630923355432e-004	2.309095e+000	1.449961e+000
7.169765345655413e-004	2.264188e+000	1.728260e+000
7.282034190255375e-004	2.174373e+000	2.236991e+000
7.479397852064721e-004	2.016482e+000	2.993850e+000
7.686076224708440e-004	1.851139e+000	3.550146e+000
7.958661561507160e-004	1.633071e+000	3.931737e+000
8.114469983733143e-004	1.508424e+000	3.998787e+000
8.206331238012159e-004	1.434935e+000	3.999967e+000
8.309100923406782e-004	1.352719e+000	3.999945e+000
9.269229046437404e-004	5.846168e-001	3.999964e+000
1.000000001000000e-003	0.000000e+000	4.000411e+000
1.001375649475869e-003	1.100519e-002	4.000188e+000
1.004126946427608e-003	3.301556e-002	4.000045e+000
1.086665854979759e-003	6.933268e-001	4.000039e+000
1.174707357435388e-003	1.397659e+000	3.957977e+000
1.218889356276132e-003	1.751115e+000	3.747389e+000
1.240341651285056e-003	1.922733e+000	3.363683e+000
1.261818403003224e-003	2.094547e+000	2.645959e+000
1.284908578140645e-003	2.279269e+000	1.644246e+000
1.295916498808172e-003	2.367332e+000	1.096728e+000
1.301730413464838e-003	2.413843e+000	8.107389e-001
1.304733480637906e-003	2.437868e+000	7.081667e-001
1.309360171814857e-003	2.474881e+000	6.222371e-001
1.311921213201593e-003	2.495370e+000	5.893378e-001
1.315673369602492e-003	2.525387e+000	5.525362e-001
1.320406233263808e-003	2.563250e+000	5.146154e-001
1.325637814362143e-003	2.605103e+000	4.806555e-001
1.333375169656895e-003	2.667001e+000	4.402184e-001
1.341692270159340e-003	2.733538e+000	4.051670e-001
1.352565527143159e-003	2.820524e+000	3.685856e-001
1.364769641068695e-003	2.918157e+000	3.358862e-001
1.381864333562613e-003	3.054915e+000	2.995342e-001
1.397713569746136e-003	3.181709e+000	2.731476e-001
1.426072180786284e-003	3.408577e+000	2.355810e-001
1.442499595824614e-003	3.539997e+000	2.179660e-001
1.450973967488934e-003	3.607792e+000	2.102217e-001
1.455978102734040e-003	3.647825e+000	2.059959e-001
1.460982237979145e-003	3.687858e+000	2.019253e-001
1.465986373224251e-003	3.727891e+000	1.980097e-001
1.470990508469356e-003	3.767924e+000	1.942493e-001
1.475994643714462e-003	3.807957e+000	1.906440e-001
1.480998778959567e-003	3.847990e+000	1.871939e-001
1.486002914204673e-003	3.888023e+000	1.838989e-001
1.500000001000002e-003	4.000000e+000	1.748150e-001
1.500567431726536e-003	3.995461e+000	1.752090e-001
1.501702293179605e-003	3.986382e+000	1.759207e-001
1.517590353522566e-003	3.859277e+000	1.862608e-001
1.535748136771664e-003	3.714015e+000	1.996100e-001
1.557722654084205e-003	3.538219e+000	2.181351e-001
1.564876071050643e-003	3.480991e+000	2.248377e-001
1.572029488017081e-003	3.423764e+000	2.323487e-001
1.579182904983519e-003	3.366537e+000	2.406681e-001
1.586336321949957e-003	3.309309e+000	2.497958e-001
1.593489738916395e-003	3.252082e+000	2.597318e-001
1.600643155882832e-003	3.194855e+000	2.704762e-001
1.607796572849270e-003	3.137627e+000	2.820290e-001
1.633222819602182e-003	2.934217e+000	3.365668e-001
1.661846245922365e-003	2.705230e+000	4.316814e-001
1.681831433577843e-003	2.545349e+000	5.441967e-001
1.691674531590228e-003	2.466604e+000	6.537371e-001
1.698533768788332e-003	2.411730e+000	8.281369e-001
1.704527846424057e-003	2.363777e+000	1.093720e+000
1.709251972401921e-003	2.325984e+000	1.341459e+000
1.714238362597640e-003	2.286093e+000	1.594415e+000
1.722832152597189e-003	2.217343e+000	2.007780e+000
1.732264721427486e-003	2.141882e+000	2.424194e+000
1.746585271379151e-003	2.027318e+000	2.974119e+000
1.761313579780253e-003	1.909491e+000	3.396417e+000
1.789976901367328e-003	1.680185e+000	3.877116e+000
1.808159706900283e-003	1.534722e+000	3.993633e+000
1.817380287270429e-003	1.460958e+000	3.999954e+000
1.827018379731595e-003	1.383853e+000	3.999993e+000
1.846294564653926e-003	1.229643e+000	3.999954e+000
1.918599912687357e-003	6.512007e-001	3.999956e+000
2.000000002000002e-003	1.776357e-015	3.999099e+000
2.001375607988374e-003	1.100485e-002	3.999662e+000
2.004126819965117e-003	3.301454e-002	4.000024e+000
2.086663179267423e-003	6.933054e-001	4.000039e+000
2.174701962523215e-003	1.397616e+000	3.957172e+000
2.219083979044346e-003	1.752672e+000	3.744194e+000
2.240505843907752e-003	1.924047e+000	3.359110e+000
2.262057533668056e-003	2.096460e+000	2.637509e+000
2.284687600441929e-003	2.277501e+000	1.655775e+000
2.295651472141167e-003	2.365212e+000	1.110353e+000
2.301537171800223e-003	2.412297e+000	8.189805e-001
2.304576949958337e-003	2.436615e+000	7.132551e-001
2.309379846277195e-003	2.475039e+000	6.221223e-001
2.311892455465481e-003	2.495140e+000	5.896310e-001
2.315670190444415e-003	2.525362e+000	5.526696e-001
2.320787518324841e-003	2.566300e+000	5.120811e-001
2.326396573068746e-003	2.611173e+000	4.764172e-001
2.334764048727875e-003	2.678112e+000	4.340499e-001
2.343798159349318e-003	2.750385e+000	3.974924e-001
2.355246779064227e-003	2.841974e+000	3.607991e-001
2.368332285985805e-003	2.946658e+000	3.275864e-001
2.386194029391969e-003	3.089552e+000	2.917092e-001
2.402764063694027e-003	3.222112e+000	2.653275e-001
2.425329140270379e-003	3.402633e+000	2.361279e-001
2.440144803687578e-003	3.521158e+000	2.201989e-001
2.447653673168097e-003	3.581229e+000	2.131598e-001
2.454232880789199e-003	3.633863e+000	2.075013e-001
2.460812088410301e-003	3.686497e+000	2.020928e-001
2.467391296031404e-003	3.739130e+000	1.969343e-001
2.473970503652507e-003	3.791764e+000	1.920259e-001
2.480549711273609e-003	3.844398e+000	1.873674e-001
2.487128918894712e-003	3.897031e+000	1.829590e-001
2.493708126515814e-003	3.949665e+000	1.788005e-001
2.500000002000004e-003	4.000000e+000	1.750204e-001
2.500629189548423e-003	3.994967e+000	1.753164e-001
2.501887564645261e-003	3.984900e+000	1.760329e-001
2.519504816000992e-003	3.843961e+000	1.876213e-001
2.539638817550399e-003	3.682889e+000	2.026928e-001
2.558998905076369e-003	3.528009e+000	2.193312e-001
2.565620906066527e-003	3.475033e+000	2.256446e-001
2.572242907056686e-003	3.422057e+000	2.326412e-001
